N.Artist,M.Artist,N.Love,M.Love,N.Minister,M.Minister,N.Theory,M.Theory,N.Mentor,M.Mentor,N.Comedian,M.Comedian,N.Criminal,M.Criminal,N.Friend,M.Friend,N.Argument,M.Argument,N.Boyfriend,M.Boyfriend,N.Welder,M.Welder,N.Firefighter,M.Firefighter,N.Rustling,M.Rustling,N.Cousin,M.Cousin,N.Cashier,M.Cashier,N.Obituary,M.Obituary,N.Uncle,M.Uncle,N.Stroller,M.Stroller,N.Catalog,M.Catalog,N.Chair,M.Chair,N.Man,M.Man,N.Woman,M.Woman,ParticipantGender,Age,NativeEng,Political,Filter
5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,1,26,1,1,1
4,6,7,7,3,5,4,5,6,6,5,5,3,5,3,4,3,4,6,4,3,4,3,4,5,5,3,4,2,3,3,5,3,4,2,3,3,5,3,5,6,5,2,3,2,35,1,1,1
6,5,3,4,4,6,5,6,5,5,3,4,6,4,4,4,6,5,4,4,6,6,4,5,4,4,3,3,4,4,5,3,5,5,5,5,5,4,3,4,5,4,5,6,2,50,1,1,1
3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,32,1,2,1
5,4,5,4,6,4,6,7,5,3,4,3,3,7,4,6,4,5,5,5,5,4,5,4,5,3,3,7,5,4,5,6,6,4,6,5,4,6,4,6,3,4,7,5,2,22,1,1,1
3,3,4,4,1,1,5,4,1,1,3,2,2,1,5,5,3,3,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,2,2,1,23,1,1,1
2,2,3,3,2,3,5,5,4,2,2,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,29,1,2,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,18,1,1,1
3,5,6,2,4,5,5,4,6,4,3,6,2,4,2,6,6,4,3,5,5,2,4,3,5,5,6,3,4,3,4,4,6,4,4,2,5,3,3,4,5,6,6,2,2,25,1,2,1
1,1,5,2,3,2,3,6,4,3,2,2,5,4,1,5,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,4,3,2,5,2,2,4,6,2,2,2,21,1,1,1
3,4,5,2,5,2,5,5,5,3,2,5,3,5,5,5,5,2,5,3,3,4,2,4,4,3,3,4,5,3,5,2,4,3,5,5,4,2,4,4,4,3,4,3,2,28,1,1,1
1,3,4,1,1,2,4,1,1,3,1,2,1,4,4,4,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,4,1,3,1,3,4,1,2,37,1,2,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,47,1,1,1
3,6,6,4,1,5,5,5,4,6,6,6,6,3,4,6,3,6,5,5,3,6,3,6,3,5,2,2,2,5,2,2,4,4,4,5,2,2,1,6,4,4,4,4,2,30,1,2,1
